Country,Crime Index
 Afghanistan,79.39
 Albania,44.50
 Algeria,53.88
 Angola,67.45
 Argentina,66.27
 Armenia,21.66
 Australia,46.27
 Austria,27.12
 Azerbaijan,30.36
 Bahrain,21.06
 Bangladesh,63.66
 Belarus,58.72
 Belgium,43.40
 Bosnia And Herzegovina,39.99
 Botswana,55.67
 Brazil,67.51
 Bulgaria,39.63
 Cambodia,53.56
 Canada,44.01
 Chile,59.80
 China,33.53
 Colombia,62.68
 Costa Rica,55.38
 Croatia,26.14
 Cuba,31.2
 Cyprus,30.96
 Czech Republic,25.09
 Denmark,24.27
 Dominican Republic,68.37
 Ecuador,57.62
 Egypt,44.96
 El Salvador,69.79
 Estonia,22.15
 Ethiopia,47.15
 Finland,27.76
 France,53.91
 Georgia,25.16
 Germany,36.86
 Ghana,46.88
 Greece,55.61
 Guatemala,62.65
 Honduras,80.87
 Hong Kong,21.62
 Hungary,35.06
 Iceland,23.02
 India,43.35
 Indonesia,50.83
 Iran,55.72
 Iraq,59.13
 Ireland,42.07
 Israel,29.91
 Italy,47.11
 Jamaica,71.44
 Japan,28.07
 Jordan,38.82
 Kazakhstan,48.65
 Kenya,59.03
 Kuwait,30.55
 Latvia,37.91
 Lebanon,46.67
 Libya,62.29
 Lithuania,33.52
 Luxembourg,30.15
 Malaysia,52.39
 Maldives,63.89
 Mexico,52.17
 Moldova,44.74
 Mongolia,55.34
 Montenegro,47.20
 Morocco,45.78
 Namibia,68.64
 Nepal,37.25
 Netherlands,27.24
 New Zealand,41.27
 Nigeria,66.22
 North Macedonia,46.76
 Norway,29.61
 Oman,20.54
 Pakistan,41.99
 Panama,47.16
 Papua New Guinea,80.71
 Paraguay,49.29
 Peru,70.70
 Philippines,46.04
 Poland,33.40
 Portugal,39.17
 Puerto Rico,68.55
 Qatar,13.96
 Romania,33.00
 Russia,43.39
 Rwanda,24.16
 Saudi Arabia,28.52
 Serbia,39.71
 Singapore,27.22
 Slovakia,29.89
 Slovenia,21.48
 South Africa,77.34
 South Korea,25.38
 Spain,32.85
 Sri Lanka,41.19
 Sweden,44.88
 Switzerland,21.16
 Syria,67.94
 Taiwan,15.05
 Tanzania,59.90
 Thailand,37.11
 Trinidad And Tobago,76.21
 Tunisia,47.14
 Turkey,32.01
 Ukraine,47.74
 United Arab Emirates,14.83
 United Kingdom,46.55
 United States,51.31
 Uruguay,54.81
 Uzbekistan,33.86
 Venezuela,83.98
 Vietnam,45.87
 Zimbabwe,60.35
